Pt-index,Rater ID,em-x,em-y,em-z,lm-x,lm-y,lm-z
1,AW,49.7042971033622,22.1402438013592,7.6916872384554,8.6147278087557,3.86315343549709,0.254018722795483
2,AW,50.2326884181369,22.2165954096885,7.7050612928364,9.15222245826118,4.04478381363232,0.257954573334909
3,AW,50.2886434368404,23.2958988565058,7.69129320528244,8.95453586295153,5.03660690423051,0.266553117185652
4,AW,52.7660264840994,23.5665386717728,7.67389455116511,11.3544434652346,5.64043993186792,0.271001760568661
5,AW,52.6709684822841,22.0448882992104,7.72564321110236,11.4875925449174,4.21270344427285,0.299299561327147
6,AW,53.5882386887711,20.9468337773605,7.76628510818044,12.559524126054,3.34479851273534,0.286528741261132
7,AW,52.2263688379039,20.0245247621458,7.73855320886661,11.4137200012955,2.26914405553564,0.255464987199164
8,AW,51.6983036059184,21.021668469675,7.76694748407717,10.7742115163909,3.12516381748114,0.287059790732077
9,AW,47.3818667634976,19.9764443345857,7.65457796164766,6.65133301761511,1.53388471525463,0.255652418285572
10,AW,46.9354113106808,19.3389274828384,7.66037255000186,6.31588873507765,0.84673733633706,0.301934190057277
11,AW,44.1152923775427,19.3513643470893,7.65852522849133,3.57162476983775,0.418019278518495,0.304008040149254
12,AW,43.4824116999715,23.2740103389158,7.38166585934382,2.40489335733558,3.9853636407035,0.127316226222154
13,AW,42.1064411965442,23.0754582893756,7.32980567661159,1.06425610758018,3.56190171873665,0.140206563755632
14,AW,42.6580534027243,23.8719403517544,7.26852306759959,1.48736638349363,4.47729571429209,0.068033399634912
15,AW,43.3599240702255,25.2681720404513,7.27218749487573,1.87220377042851,5.76822098443464,0.098024522139823
16,AW,50.3458856514247,25.3828434248377,7.65786342573765,8.68547676906447,6.97616244782383,0.267707475058936
17,AW,47.2387138745245,21.7089413624013,7.56048900782903,6.21503858306367,3.04409598354146,0.219583192779875
18,AW,40.9255634950732,21.3620921010505,7.26199094336431,0.168328376866471,1.81716186132481,0.145893334119418
19,AW,46.8765349407842,24.4117891368494,7.44391420482296,5.4604834419541,5.49908800668121,0.164888195229043
20,AW,48.7196894108057,22.6652996657319,7.64474229056738,7.53045573804161,4.22361356062843,0.27539785594653
21,AW,52.4643845204048,18.2009517236677,7.7506587485051,11.9360347817765,0.578067466163305,0.335102906055525
22,AW,44.0902502570877,23.027471192334,7.50683266825279,2.97545432903978,3.82087467734645,0.232391623850922
23,AW,52.4135147070736,25.3084913042495,7.67965845325225,10.7592448059924,7.24022681625067,0.291283934399195
24,AW,47.6140329435849,26.0432509466812,7.62293661161104,5.911673375692,7.0876801607243,0.308367821704853
25,AW,44.2238369318581,21.5111732324209,7.45626802319149,3.33599852719212,2.46368110544549,0.109088639297734
26,AW,45.6176145372402,26.2729339811831,7.4966373663747,3.97764237413564,7.04495977825552,0.209592450749386
27,AW,50.8834558732279,18.856503803724,7.73266175503343,10.2286752972292,0.988249894324308,0.294084232193883
28,AW,48.8606659449303,19.0398277904413,7.72640227117035,8.2260253911691,0.911075257039419,0.342829226780241
29,AW,41.29710978295,20.7521955573959,7.33402566076211,0.587644649915376,1.3167955300743,0.176638086570779
30,AW,46.2955877606414,21.7796991471809,7.69259817602721,5.29917902838258,3.01074549824204,0.332767067881351
31,AW,44.5260548047937,24.8015850518348,7.41148210903417,3.13354466737781,5.51270581080833,0.151269067230752
1,JB,49.7061998603947,22.1335934400607,7.69362448097056,8.6147278087557,3.86315343549709,0.254018722795483
2,JB,50.2355512588479,22.2170096328453,7.72612141615424,9.15222245826118,4.04478381363232,0.257954573334909
3,JB,50.3026834927444,23.300059006942,7.69506796644991,8.95453586295153,5.03660690423051,0.266553117185652
4,JB,52.7841874281253,23.5452914309796,7.6677355231166,11.3544434652346,5.64043993186792,0.271001760568661
5,JB,52.6764638216131,22.0466673879673,7.72400329442289,11.4875925449174,4.21270344427285,0.299299561327147
6,JB,53.5899444049036,20.9630030872675,7.7680799610318,12.559524126054,3.34479851273534,0.286528741261132
7,JB,52.2221596719844,20.0244470162866,7.75087801054213,11.4137200012955,2.26914405553564,0.255464987199164
8,JB,51.7016078396634,20.9938603866943,7.76270088531522,10.7742115163909,3.12516381748114,0.287059790732077
9,JB,47.3944886843921,19.9912976235305,7.66931428685147,6.65133301761511,1.53388471525463,0.255652418285572
10,JB,46.94278468069,19.3422477893614,7.65351419201312,6.31588873507765,0.84673733633706,0.301934190057277
11,JB,44.1151027306755,19.3299319739732,7.65835967778057,3.57162476983775,0.418019278518495,0.304008040149254
12,JB,43.5003898189313,23.2889659300488,7.37139609937571,2.40489335733558,3.9853636407035,0.127316226222154
13,JB,42.1153682051807,23.069447463483,7.34310417301386,1.06425610758018,3.56190171873665,0.140206563755632
14,JB,42.6531296259863,23.8569303803341,7.22478500926952,1.48736638349363,4.47729571429209,0.068033399634912
15,JB,43.3301507782739,25.2835375532298,7.2858931792319,1.87220377042851,5.76822098443464,0.098024522139823
16,JB,50.3422161733417,25.4175043708546,7.65962343819039,8.68547676906447,6.97616244782383,0.267707475058936
17,JB,47.3075931190319,21.6948458952944,7.57400778272425,6.21503858306367,3.04409598354146,0.219583192779875
18,JB,40.9584533930427,21.3490990666291,7.34531277785004,0.168328376866471,1.81716186132481,0.145893334119418
19,JB,46.8695550963977,24.355617787331,7.4771111297799,5.4604834419541,5.49908800668121,0.164888195229043
20,JB,48.7321668103566,22.6665762712405,7.63698391684581,7.53045573804161,4.22361356062843,0.27539785594653
21,JB,52.5087729083675,18.1153602649967,7.75348471873543,11.9360347817765,0.578067466163305,0.335102906055525
22,JB,44.093426527696,23.034356080441,7.49887432700379,2.97545432903978,3.82087467734645,0.232391623850922
23,JB,52.4303363021161,25.3541087733649,7.68784014109677,10.7592448059924,7.24022681625067,0.291283934399195
24,JB,47.6034902171633,26.0664152208856,7.61581135837666,5.911673375692,7.0876801607243,0.308367821704853
25,JB,44.2004468597292,21.5054744824617,7.44242656222179,3.33599852719212,2.46368110544549,0.109088639297734
26,JB,45.6522711123466,26.3011597511247,7.54130560379183,3.97764237413564,7.04495977825552,0.209592450749386
27,JB,50.8665650512286,18.8576426026542,7.75945242108518,10.2286752972292,0.988249894324308,0.294084232193883
28,JB,48.8507644183292,19.0352152353387,7.73028003605657,8.2260253911691,0.911075257039419,0.342829226780241
29,JB,41.2805409952719,20.7651448258706,7.32342170999057,0.587644649915376,1.3167955300743,0.176638086570779
30,JB,46.2956558675792,21.8149195687676,7.6882832464442,5.29917902838258,3.01074549824204,0.332767067881351
31,JB,44.529541625636,24.7977958292513,7.41845379590703,3.13354466737781,5.51270581080833,0.151269067230752
1,Auto,49.7119753520907,22.2198744457052,7.65839205386543,8.6147278087557,3.86315343549709,0.254018722795483
2,Auto,50.2811412872254,22.3255272599824,7.66152801007197,9.15222245826118,4.04478381363232,0.257954573334909
3,Auto,50.2258730764678,23.4385988342384,7.62939369335753,8.95453586295153,5.03660690423051,0.266553117185652
4,Auto,52.7778018484133,23.6447034187301,7.63526474198346,11.3544434652346,5.64043993186792,0.271001760568661
5,Auto,52.6789403251451,22.0825362842387,7.70703387910669,11.4875925449174,4.21270344427285,0.299299561327147
6,Auto,53.647311935426,20.9633877613926,7.71904905452407,12.559524126054,3.34479851273534,0.286528741261132
7,Auto,52.3171132126602,19.9847687122129,7.72219121400581,11.4137200012955,2.26914405553564,0.255464987199164
8,Auto,51.7939873266326,21.0354510451118,7.7283784648196,10.7742115163909,3.12516381748114,0.287059790732077
9,Auto,47.3888937094486,19.9807849304036,7.64801827445623,6.65133301761511,1.53388471525463,0.255652418285572
10,Auto,46.9355528700569,19.3129232303495,7.70286976363516,6.31588873507765,0.84673733633706,0.301934190057277
11,Auto,44.0506727263044,19.3165095548552,7.64250369520907,3.57162476983775,0.418019278518495,0.304008040149254
12,Auto,43.5071243258109,23.2376134442466,7.39864912913048,2.40489335733558,3.9853636407035,0.127316226222154
13,Auto,42.1488233587856,23.049092289568,7.3937646463362,1.06425610758018,3.56190171873665,0.140206563755632
14,Auto,42.7466017083532,23.8943404397102,7.29863654141958,1.48736638349363,4.47729571429209,0.068033399634912
15,Auto,43.35552800253,25.2320944566484,7.39034374363641,1.87220377042851,5.76822098443464,0.098024522139823
16,Auto,50.2792100225435,25.6132703827756,7.56553583466282,8.68547676906447,6.97616244782383,0.267707475058936
17,Auto,47.2099642632242,21.6970494556789,7.58505662532077,6.21503858306367,3.04409598354146,0.219583192779875
18,Auto,40.9517772542011,21.3668278750425,7.41108314391861,0.168328376866471,1.81716186132481,0.145893334119418
19,Auto,46.915083242064,24.3767350155771,7.49520633144425,5.4604834419541,5.49908800668121,0.164888195229043
20,Auto,48.6779612025955,22.7831083802695,7.64118862361621,7.53045573804161,4.22361356062843,0.27539785594653
21,Auto,52.5807245229112,18.0100178827282,7.8711772297097,11.9360347817765,0.578067466163305,0.335102906055525
22,Auto,44.0171677480003,22.979827953027,7.53004617631064,2.97545432903978,3.82087467734645,0.232391623850922
23,Auto,52.4417288987048,25.5496341362733,7.56387807159097,10.7592448059924,7.24022681625067,0.291283934399195
24,Auto,47.5436101070305,26.1740573904148,7.64047934247207,5.911673375692,7.0876801607243,0.308367821704853
25,Auto,44.1422070805063,21.5470239818798,7.41696038154627,3.33599852719212,2.46368110544549,0.109088639297734
26,Auto,45.6258936120049,26.4280229420128,7.56351164210986,3.97764237413564,7.04495977825552,0.209592450749386
27,Auto,50.9189814266847,18.7754916774664,7.78283509050077,10.2286752972292,0.988249894324308,0.294084232193883
28,Auto,48.8873560338693,19.0417282473806,7.77616779260666,8.2260253911691,0.911075257039419,0.342829226780241
29,Auto,41.3533575691506,20.7844834611351,7.45092261148838,0.587644649915376,1.3167955300743,0.176638086570779
30,Auto,46.2702635658887,21.8254654994627,7.69728968712879,5.29917902838258,3.01074549824204,0.332767067881351
31,Auto,44.5015005332378,24.7696510298482,7.54292395919853,3.13354466737781,5.51270581080833,0.151269067230752
